url,check_seo_meta,check_h1,check_canonical,check_schema_hvac,check_schema_faq,check_schema_breadcrumb,check_internal_links,check_phone_hero,check_nap_footer,check_robots_indexable,check_unique_title,lighthouse_budget_estimate,result
/,PASS,PASS,PASS,PASS,FAIL_no_faqpage,FAIL_no_breadcrumb,PASS,PASS,PASS,PASS,PASS,GREEN,WARN
/reparacion-aire-acondicionado/,PASS,PASS,PASS,PASS,FAIL_no_faqpage,PASS,PASS,PASS,FAIL_no_nap,PASS,PASS,GREEN,WARN
/instalacion-aire-acondicionado/,PASS,PASS,PASS,PASS,FAIL_no_faqpage,PASS,PASS,PASS,FAIL_no_nap,PASS,PASS,GREEN,WARN
/mantenimiento-aire-acondicionado/,PASS,PASS,PASS,PASS,FAIL_no_faqpage,PASS,PASS,PASS,FAIL_no_nap,PASS,PASS,GREEN,WARN
/reparacion-caldera/,PASS,PASS,PASS,PASS,FAIL_no_faqpage,PASS,PASS,PASS,FAIL_no_nap,PASS,PASS,GREEN,WARN
/reparacion-aire-acondicionado/sabadell/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-aire-acondicionado/terrassa/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-aire-acondicionado/rubi/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-aire-acondicionado/cerdanyola-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-aire-acondicionado/sant-cugat-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/instalacion-aire-acondicionado/sabadell/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/instalacion-aire-acondicionado/terrassa/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/instalacion-aire-acondicionado/rubi/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/instalacion-aire-acondicionado/cerdanyola-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/instalacion-aire-acondicionado/sant-cugat-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/mantenimiento-aire-acondicionado/sabadell/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/mantenimiento-aire-acondicionado/terrassa/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/mantenimiento-aire-acondicionado/rubi/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/mantenimiento-aire-acondicionado/cerdanyola-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/mantenimiento-aire-acondicionado/sant-cugat-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-caldera/sabadell/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-caldera/terrassa/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-caldera/rubi/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-caldera/cerdanyola-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/reparacion-caldera/sant-cugat-del-valles/,PASS,PASS,PASS,PASS,PASS,PASS,PASS(8),PASS,PASS,PASS,PASS,GREEN,PASS
/contacto/,PASS,PASS,PASS,PASS_contactpage,N/A,N/A,PASS,PASS,PASS,PASS,PASS,GREEN,PASS
/sobre-nosotros/,PASS,PASS,PASS,FAIL_no_schema,N/A,N/A,FAIL_no_internal,PASS,FAIL_no_nap,PASS,PASS,GREEN,WARN
